dLQbcccdegj, tet1: 0, tet2: 2, searched: 1, height: 1
kLLLMPPkacgehihjhjjjkgbdmtamvw, tet1: 9, tet2: 8, searched: 444, height: 3
kLvAALQkbfefgiihjjjxpxaaxiciuv, tet1: 7, tet2: 3, searched: 87, height: 3
kLvLLQQkbdgfhgijjijpfkccvfwwfs, tet1: 9, tet2: 2, searched: 8561, height: 3
lLLPMvQPcbcefegiijkjkmbapaglnsxnj, tet1: 10, tet2: 6, searched: 642, height: 4
jLLLAMQacfeghiihinkwcjtqldg, tet1: 7, tet2: 5, searched: 60, height: 2
iLLMMMcbcdefgghhebbmaetos, tet1: 2, tet2: 3, searched: 3, height: 1
lLvAMLPQccdefghijkjkkivpuovuuunno, tet1: 1, tet2: 8, searched: 1483, height: 4
mLvALMMPQcdcfihhjlklklqvjctvwhbcsrc, tet1: 10, tet2: 6, searched: 2046, height: 5
kLLPLwQkccffhgijijjibaawbhhqhr, tet1: 9, tet2: 6, searched: 2574, height: 3
kLvALMQkbefehigijjjdmmdrrrfaed, tet1: 4, tet2: 9, searched: 85, height: 3
iLLMMMcbcdefgghhebbmaetsn, tet1: 2, tet2: 3, searched: 3, height: 1
kLvALPQkbeffihgijjjtmlebnrfphu, tet1: 5, tet2: 7, searched: 900, height: 3
mLLLvAQMQacghfgkjilklljkoakrmgblbtt, tet1: 4, tet2: 11, searched: 4977, height: 5
lLLPMvQPcbcefegiijkjkmbapaglnsxnk, tet1: 10, tet2: 6, searched: 768, height: 4
lLLMLwAQccddefghjijkkigvhgfhowwhk, tet1: 9, tet2: 6, searched: 953, height: 4
jLLLAMQacfeghiihijkwcjtqldg, tet1: 7, tet2: 5, searched: 60, height: 2
kLvALAQkadfifgijjjinmqmwvuqrvv, tet1: 9, tet2: 3, searched: 4983, height: 3
jLLAzAQccedfghiiipvlfbwaxsv, tet1: 7, tet2: 3, searched: 111, height: 2
kLvAwAQkadfgifhjijjnaqflbalvgw, tet1: 7, tet2: 6, searched: 232, height: 3
iLLvQQccdfhfhgghifaunkrvb, tet1: 4, tet2: 5, searched: 8, height: 1
lLvAwPAQccdefihjikkjkhvphunpdlefb, tet1: 6, tet2: 9, searched: 1128, height: 4
kLLLLMQkacgfhgjhijjjkosaotebfv, tet1: 3, tet2: 9, searched: 4778, height: 3
jLLALMQbddegghiiimvopwfaawj, tet1: 8, tet2: 7, searched: 94, height: 2
jLvALQQcdefgihihiivhcgrjjjr, tet1: 3, tet2: 7, searched: 1432, height: 2
jLLALAQceddfghiiitivnsnlqwc, tet1: 6, tet2: 4, searched: 91, height: 2
lLLMLwAQccddefghjijkkigvhgfhowwxw, tet1: 9, tet2: 6, searched: 1297, height: 4
jLLvQMQcdeghfihiitoxljfpjdm, tet1: 8, tet2: 5, searched: 20, height: 2
jLvLAQQbdgefhgiiipfhhcbbdxi, tet1: 4, tet2: 8, searched: 92, height: 2
kLLLLAQkacgghfhijjjnkbjafpuovw, tet1: 7, tet2: 5, searched: 707, height: 3
iLLLMQcbdegfhghhmkmunwovv, tet1: 6, tet2: 5, searched: 2, height: 1
jLvLMQQbdegfhihiimfiwbcbokg, tet1: 3, tet2: 6, searched: 49, height: 2
lLvALLQQccdffgjihkjkkdvhbjtrndeen, tet1: 10, tet2: 6, searched: 1343, height: 4
jLAMLLQbcbdeghiiixxjxxrqtrf, tet1: 8, tet2: 7, searched: 13, height: 1
jLAMLLQbcbdeghiiixxjxxoqpcs, tet1: 8, tet2: 7, searched: 12, height: 1
lLAwwMzQccbbdfhijkjkkhhkxjejmilin, tet1: 4, tet2: 8, searched: 160, height: 3
lLAwwMzQcbcbdfhijkjkkhhjqjejmilin, tet1: 4, tet2: 8, searched: 160, height: 3
kLAMLLPkbcbdeghjijjxxjxxjqfjvj, tet1: 6, tet2: 8, searched: 69, height: 2
lLAwwwMQccbbdfgjjikkkhqnhweetfpmf, tet1: 9, tet2: 6, searched: 167, height: 3
lLAwwwPQcbcbdfhikkjjkxhjqjecqmtuo, tet1: 9, tet2: 6, searched: 167, height: 3
lLALLzPQcbcbeghkjkjkjhhwslsimajsr, tet1: 5, tet2: 10, searched: 84, height: 3
lLAwvAAQcbcbdghhjkjkkhhjqhevjibde, tet1: 9, tet2: 8, searched: 334, height: 3
lLAwvAAQcbcbdghhijkkkhhjqhevvbaxd, tet1: 9, tet2: 8, searched: 353, height: 3
lLALLzPQcbcbeghkjkjkjxhnslsimajsr, tet1: 4, tet2: 9, searched: 104, height: 3
lLALvAAQccbbeihjhkikkqqjnkvqnqjbk, tet1: 8, tet2: 6, searched: 934, height: 3
lLALvAAQccbbeihjhkikkqhrnkvqnqjbk, tet1: 8, tet2: 6, searched: 934, height: 3
mLALLvQMQbcbegiijkjlllhhwsliqpuowgf, tet1: 7, tet2: 10, searched: 557, height: 4
mLALLvQMQbcbegiijkjlllxhnsliqpuowgf, tet1: 7, tet2: 10, searched: 557, height: 4
nLAwLALMPkcbbdhhgijlmlmmhhkxiqesdnanue, tet1: 10, tet2: 12, searched: 1595, height: 5
kLALvPQkcbbejghhijjhqnopfnwfia, tet1: 7, tet2: 5, searched: 492, height: 2
kLALvQPkcbbeiigjjjihqnorkfmuaf, tet1: 7, tet2: 5, searched: 490, height: 2
