iLLzMQccdefghghhdwahonfnn | Same Shape: False | Small Shape: False | [(7, 4)] | [z - 1, z - 2, 1/2*z - 1/2, 2*z - 1, 2/5*z - 1/5, 1/4*z - 3/4, 1/5*z - 2/5, 2*z + 2] 
iLLzPQccdefghghhdwaeobgbj | Same Shape: False | Small Shape: True | [(7, 3)] | [1/2*z - 1/2, 1/5*z - 2/5, z - 1, 2*z - 1, 2/5*z - 1/5, 2/5*z - 6/5, z - 2, 1/4*z + 1/4] 
iLLzPQccdefghhghdwaqokkcj | Same Shape: False | Small Shape: True | [(4, 7)] | [1/2*z - 1/2, 1/5*z - 2/5, z - 1, 2/5*z - 1/5, 2*z - 1, 2/5*z - 6/5, z - 2, 1/4*z + 1/4] 
jLLzLQQcdehiighhidwawffofwo | Same Shape: False | Small Shape: True | [(5, 3)] | [z - 2, 1/2*z - 1/2, 2*z - 1, 2/5*z - 1/5, 1/4*z - 3/4, 2*z + 2, 9/50*z + 13/50, 1/10*z - 7/10, 2*z - 4] 
jLvAPPQcdfegihhiidveubavwdu | Same Shape: False | Small Shape: True | [(4, 2)] | [z - 2, 2*z - 1, 2/5*z - 1/5, 1/4*z - 3/4, 2*z + 2, 1/5*z - 2/5, z - 3, 1/5*z + 1/5, 1/2*z - 1] 
jLLzMPQcdefhighiidwadwaowqd | Same Shape: False | Small Shape: True | [(5, 3)] | [z - 1, 1/2*z - 1/2, 2*z - 1, 2/5*z - 1/5, 1/4*z - 3/4, 2*z + 2, 1/10*z + 1/5, 1/5*z - 3/5, z - 7] 
iLvLQQcbdefghghhmfimrrkrc | Same Shape: False | Small Shape: True | [(3, 6)] | [2*z - 2, 2*z - 3, z - 1, 4/5*z - 3/5, 4*z - 3, 2/5*z - 3/5, 4*z, 1/2*z - 1] 
iLLLMQccdefggghhdstajkksw | Same Shape: False | Small Shape: True | [(0, 5)] | [-1/4*z^5 + 11/4*z^4 - 10*z^3 + 14*z^2 - 33/4*z + 5/2, 5/2*z^5 - 61/2*z^4 + 131*z^3 - 239*z^2 + 365/2*z - 56, -1/4*z^5 + 13/4*z^4 - 29/2*z^3 + 26*z^2 - 65/4*z + 3, -5/2*z^5 + 61/2*z^4 - 131*z^3 + 239*z^2 - 363/2*z + 52, 2/11*z^5 - 27/11*z^4 + 12*z^3 - 283/11*z^2 + 261/11*z - 90/11, z - 1, z - 1, -5*z^5 + 61*z^4 - 261*z^3 + 469*z^2 - 342*z + 97] 
jLvAMPQcfcehgihiiqdjewslvxx | Same Shape: False | Small Shape: True | [(2, 7)] | [1/2*z^2 - 1, 1/8*z^2 + 1/4*z - 1/8, 17/328*z^2 + 25/164*z - 5/328, 3/2*z^2 - 2*z - 2, 52/319*z^2 + 53/319*z - 90/319, 1/8*z^2 + 1/4*z - 9/8, 52/319*z^2 + 53/319*z - 409/319, 7/2*z^2 - 1/2*z, 20/281*z^2 + 32/281*z - 25/281] 
kLvALPQkcecgjgihijjherwevfvvtm | Same Shape: False | Small Shape: True | [(1, 6)] | [1/2*z^2 - 1, 17/328*z^2 + 25/164*z - 5/328, 3/2*z^2 - 2*z - 2, 52/319*z^2 + 53/319*z - 90/319, 1/8*z^2 + 1/4*z - 9/8, 52/319*z^2 + 53/319*z - 409/319, 7/2*z^2 - 1/2*z, 365/1681*z^2 + 432/1681*z + 1072/1681, 10/281*z^2 + 16/281*z - 153/281, 1/4*z^2 + 1/2*z - 9/4] 
jLLAvQQbcdehhigiipjgtappsds | Same Shape: False | Small Shape: True | [(0, 6)] | [-5/4*z^6 + 37/4*z^5 - 26*z^4 + 163/4*z^3 - 163/4*z^2 + 117/4*z - 14, -6*z^6 + 45*z^5 - 125*z^4 + 194*z^3 - 191*z^2 + 136*z - 66, -17/2*z^6 + 127/2*z^5 - 175*z^4 + 537/2*z^3 - 523/2*z^2 + 371/2*z - 88, 60/23*z^6 - 456/23*z^5 + 1277/23*z^4 - 1960/23*z^3 + 1927/23*z^2 - 1387/23*z + 666/23, 13/4*z^6 - 49/2*z^5 + 273/4*z^4 - 419/4*z^3 + 205/2*z^2 - 73*z + 145/4, 5/8*z^6 - 37/8*z^5 + 13*z^4 - 163/8*z^3 + 163/8*z^2 - 113/8*z + 15/2, 37/4*z^6 - 277/4*z^5 + 191*z^4 - 1171/4*z^3 + 1147/4*z^2 - 813/4*z + 98, 329/2116*z^6 - 2689/2116*z^5 + 1991/529*z^4 - 11583/2116*z^3 + 9623/2116*z^2 - 4937/2116*z + 526/529, 269/124*z^6 - 2037/124*z^5 + 1427/31*z^4 - 8867/124*z^3 + 8815/124*z^2 - 6261/124*z + 736/31] 
jLLLAPQacffeiihhijkgvgaaxpc | Same Shape: False | Small Shape: True | [(1, 8)] | [-1/4*z^6 + 9/4*z^5 - 8*z^4 + 63/4*z^3 - 79/4*z^2 + 65/4*z - 6, -5/4*z^6 + 37/4*z^5 - 26*z^4 + 163/4*z^3 - 163/4*z^2 + 117/4*z - 14, -75/23*z^6 + 570/23*z^5 - 1602/23*z^4 + 2473/23*z^3 - 2403/23*z^2 + 1682/23*z - 775/23, 1945/814*z^6 - 14721/814*z^5 + 20547/407*z^4 - 63145/814*z^3 + 1673/22*z^2 - 44073/814*z + 10493/407, 65/2*z^6 - 487/2*z^5 + 672*z^4 - 2057/2*z^3 + 2009/2*z^2 - 1431/2*z + 342, 821/782*z^6 - 6281/782*z^5 + 8921/391*z^4 - 28023/782*z^3 + 28281/782*z^2 - 20501/782*z + 4974/391, 2283/3256*z^6 - 16931/3256*z^5 + 5707/407*z^4 - 67261/3256*z^3 + 1713/88*z^2 - 45343/3256*z + 6101/814, -3629/1628*z^6 + 27485/1628*z^5 - 19225/407*z^4 + 118731/1628*z^3 - 3163/44*z^2 + 84049/1628*z - 10018/407, 37/4*z^6 - 277/4*z^5 + 191*z^4 - 1171/4*z^3 + 1147/4*z^2 - 813/4*z + 98] 
hLvMQkbefefgfgpamtmpck | Same Shape: False | Small Shape: True | [(3, 5)] | [z, -1/7*z^4 + 10/7*z^3 - 5*z^2 + 48/7*z - 9/7, -2/7*z^4 + 13/7*z^3 - 5*z^2 + 40/7*z - 18/7, -6/7*z^4 + 32/7*z^3 - 9*z^2 + 29/7*z - 5/7, 2/21*z^4 - 2/7*z^3 - 1/3*z^2 + 37/21*z - 10/21, -5/7*z^4 + 36/7*z^3 - 14*z^2 + 100/7*z - 10/7, z - 1] 
hLLPMkcdefffggdvalarbs | Same Shape: False | Small Shape: True | [(3, 6)] | [z, -1/7*z^4 + 10/7*z^3 - 5*z^2 + 48/7*z - 9/7, 1/7*z^4 - 3/7*z^3 + 15/7*z - 5/7, -5/7*z^4 + 36/7*z^3 - 14*z^2 + 100/7*z - 17/7, -3/7*z^4 + 23/7*z^3 - 10*z^2 + 88/7*z - 27/7, z - 1, 2/147*z^4 + 5/49*z^3 - 16/21*z^2 + 247/147*z - 10/147] 
iLLLPQcbcgfhhfghdfddrjfck | Same Shape: False | Small Shape: True | [(4, 6)] | [3/7*z^4 - 16/7*z^3 + 4*z^2 - 4/7*z - 1/7, -2/7*z^4 + 13/7*z^3 - 5*z^2 + 40/7*z - 18/7, -4/7*z^4 + 26/7*z^3 - 9*z^2 + 52/7*z - 1/7, -2/7*z^4 + 13/7*z^3 - 5*z^2 + 40/7*z - 18/7, -6/7*z^4 + 32/7*z^3 - 9*z^2 + 29/7*z - 5/7, 2/21*z^4 - 2/7*z^3 - 1/3*z^2 + 37/21*z - 10/21, -5/7*z^4 + 36/7*z^3 - 14*z^2 + 100/7*z - 10/7, z - 1] 
iLLLMQcbdgffhghhlvdlgjocc | Same Shape: False | Small Shape: True | [(4, 7)] | [3/7*z^4 - 16/7*z^3 + 4*z^2 - 4/7*z - 1/7, -2/7*z^4 + 13/7*z^3 - 5*z^2 + 40/7*z - 18/7, -4/7*z^4 + 26/7*z^3 - 9*z^2 + 52/7*z - 1/7, 1/7*z^4 - 3/7*z^3 + 15/7*z - 5/7, -5/7*z^4 + 36/7*z^3 - 14*z^2 + 100/7*z - 17/7, -3/7*z^4 + 23/7*z^3 - 10*z^2 + 88/7*z - 27/7, z - 1, 2/147*z^4 + 5/49*z^3 - 16/21*z^2 + 247/147*z - 10/147] 
iLLLAQcbcegffghhpwmaqwbmr | Same Shape: False | Small Shape: True | [(2, 3)] | [z, -2/7*z^4 + 13/7*z^3 - 5*z^2 + 40/7*z - 18/7, -6/7*z^4 + 32/7*z^3 - 9*z^2 + 29/7*z - 5/7, -5/7*z^4 + 36/7*z^3 - 14*z^2 + 100/7*z - 10/7, z - 1, -3/7*z^4 + 23/7*z^3 - 10*z^2 + 88/7*z - 34/7, -29/7*z^4 + 150/7*z^3 - 40*z^2 + 83/7*z - 16/7, 1/7*z^4 - 3/7*z^3 + 8/7*z - 5/7] 
hLLzQkcdegefggqoatqfns | Same Shape: False | Small Shape: True | [(5, 3)] | [1/16*z^4 + 1/8*z^3 - 3/16*z^2 + 9/16*z + 3/8, z, 1/8*z^4 - 1/4*z^3 - 11/8*z^2 + 21/8*z - 7/4, 5/4*z^4 + 1/2*z^3 - 35/4*z^2 + 61/4*z - 15/2, -1/2*z^4 - z^3 + 5/2*z^2 - 3/2*z - 1, -1/12*z^4 - 1/6*z^3 + 7/12*z^2 + 1/4*z - 1/6, 1/2*z^4 - 1/2*z^3 - 9/2*z^2 + 10*z - 13/2] 
