id,oriented,tetrahedra,flat count,negative count
FLLAMzMzMzMzMzMzMzMzMkbcedfghijklmnopqrstuvwxyzABCDEEElsajaaaaaaaaaaaaaaaaaaaaaaaaaadd,0,31,28,0
HLLLMAMzMzMzMzMzMzMzMzQcdgfefhijklmnopqrstuvwxyzABCDEFGGGasaassoaaaaaaaaaaaaaaaaaaaaaaaaamm,0,33,29,0
GLLLAPzMMzMzMzMzMzMzMPcbefgfihjkljmnopqrstuvwxyzABCDEFFFaadldafhaakaaaaaaaaaaaaaaaaaaaatt,0,32,27,0
ILLLwMAMMzMzMzMzMzMzMzMkbedgigjhkljmnopqrstuvwxyzABCDEFGHHHaafhaohfaasaaaaaaaaaaaaaaaaaaaaaaii,0,34,29,0
ELMzMzMzMzMzMzMzMzMzQbcdefghijklmnopqrstuvwxyzABCDDDaaaaaaaaaaaaaaaaaaaaaaaaaaahxet,0,30,28,0
ILLLwMQzMzMzMzMzMzMzMzMkbedgigjhhklmnopqrstuvwxyzABCDEFGHHHaafhaoajkaaaaaaaaaaaaaaaaaaaaaaaass,0,34,30,0
HLLLwAAMPzMzMzMzMzMzMzQbdfggijhklmknopqrstuvwxyzABCDEFGGGhgahbaawxaajaaaaaaaaaaaaaaaaaaaann,0,33,27,0
HLLLwQzMMzMzMzMzMzMzMzQbedfighjkljmnopqrstuvwxyzABCDEFGGGaafhasjhaakaaaaaaaaaaaaaaaaaaaaajj,0,33,28,0
JLLLwMAMMzMzMzMzMzMzMzMPcbedgijghkljmnopqrstuvwxyzABCDEFGHIIIaafhahjjaanaaaaaaaaaaaaaaaaaaaaaaajj,0,35,30,0
HLLAMzMzMzMzMzMzMzMzMzQbcedfghijklmnopqrstuvwxyzABCDEFGGGlsajaaaaaaaaaaaaaaaaaaaaaaaaaaaadd,0,33,30,0
JLLLMAMzMzMzMzMzMzMzMzMPccdgfefhijklmnopqrstuvwxyzABCDEFGHIIIasaassoaaaaaaaaaaaaaaaaaaaaaaaaaaamm,0,35,31,0
ILLLAPzMMzMzMzMzMzMzMzMkbefgfihjkljmnopqrstuvwxyzABCDEFGHHHaadldafhaakaaaaaaaaaaaaaaaaaaaaaatt,0,34,29,0
KLLLwMAMMzMzMzMzMzMzMzMzQbedgigjhkljmnopqrstuvwxyzABCDEFGHIJJJaafhaohfaasaaaaaaaaaaaaaaaaaaaaaaaaii,0,36,31,0
GLMzMzMzMzMzMzMzMzMzMPcbcdefghijklmnopqrstuvwxyzABCDEFFFaaaaaaaaaaaaaaaaaaaaaaaaaaaaahxpi,0,32,30,0
KLLLwMQzMzMzMzMzMzMzMzMzQbedgigjhhklmnopqrstuvwxyzABCDEFGHIJJJaafhaoajkaaaaaaaaaaaaaaaaaaaaaaaaaass,0,36,32,0
JLLLwAAMPzMzMzMzMzMzMzMPcbdfggijhklmknopqrstuvwxyzABCDEFGHIIIhgahbaawxaajaaaaaaaaaaaaaaaaaaaaaann,0,35,29,0
JLLLwQzMMzMzMzMzMzMzMzMPcbedfighjkljmnopqrstuvwxyzABCDEFGHIIIaafhasjhaakaaaaaaaaaaaaaaaaaaaaaaajj,0,35,30,0
LLLLwMAMMzMzMzMzMzMzMzMzMkbedgijghkljmnopqrstuvwxyzABCDEFGHIJKKKaafhahjjaanaaaaaaaaaaaaaaaaaaaaaaaaajj,0,37,32,0
JLLAMzMzMzMzMzMzMzMzMzMPcbcedfghijklmnopqrstuvwxyzABCDEFGHIIIlsajaaaaaaaaaaaaaaaaaaaaaaaaaaaaaadd,0,35,32,0
LLLLMAMzMzMzMzMzMzMzMzMzMkcdgfefhijklmnopqrstuvwxyzABCDEFGHIJKKKasaassoaaaaaaaaaaaaaaaaaaaaaaaaaaaaamm,0,37,33,0
KLLLAPzMMzMzMzMzMzMzMzMzQbefgfihjkljmnopqrstuvwxyzABCDEFGHIJJJaadldafhaakaaaaaaaaaaaaaaaaaaaaaaaatt,0,36,31,0
MLLLwMAMMzMzMzMzMzMzMzMzMPcbedgigjhkljmnopqrstuvwxyzABCDEFGHIJKLLLaafhaohfaasaaaaaaaaaaaaaaaaaaaaaaaaaaii,0,38,33,0
ILMzMzMzMzMzMzMzMzMzMzMkbcdefghijklmnopqrstuvwxyzABCDEFGHHHaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaahxet,0,34,32,0
MLLLwMQzMzMzMzMzMzMzMzMzMPcbedgigjhhklmnopqrstuvwxyzABCDEFGHIJKLLLaafhaoajkaaaaaaaaaaaaaaaaaaaaaaaaaaaass,0,38,34,0
LLLLwAAMPzMzMzMzMzMzMzMzMkbdfggijhklmknopqrstuvwxyzABCDEFGHIJKKKhgahbaawxaajaaaaaaaaaaaaaaaaaaaaaaaann,0,37,31,0
LLLLwQzMMzMzMzMzMzMzMzMzMkbedfighjkljmnopqrstuvwxyzABCDEFGHIJKKKaafhasjhaakaaaaaaaaaaaaaaaaaaaaaaaaajj,0,37,32,0
NLLLwMAMMzMzMzMzMzMzMzMzMzQbedgijghkljmnopqrstuvwxyzABCDEFGHIJKLMMMaafhahjjaanaaaaaaaaaaaaaaaaaaaaaaaaaaajj,0,39,34,0
LLLAMzMzMzMzMzMzMzMzMzMzMkbcedfghijklmnopqrstuvwxyzABCDEFGHIJKKKlsajaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaadd,0,37,34,0
